Website_ID,Domain,URL_Accessed,Audit_Status,Last_Error,Retry_Count,Audit_Level,Run_ID,Access_Date_UTC,Country_or_Market_Observed,Access_Locale,Browser,Headless_Audit,Cookie_Banner_Present,Banner_Type,Consent_Layer_Depth,CMP_Vendor,CMP_Evidence,IAB_TCF_Mentioned,TCF_Evidence,L1_Evidence_Quote,L1_Screenshot_Ref,L1_Accept_All_Present,L1_Reject_All_Present,L1_Manage_Preferences_Present,Accept_Click_Count,Reject_Click_Count,Manage_Click_Count,EE_Click_Asymmetry_RejectMinusAccept,EE_Hidden_Reject_Path,AE_Accept_Button_Prominence_1to3,AE_Reject_Button_Prominence_1to3,AE_Size_Asymmetry_LargerEqualSmaller,AE_Primary_Action_Is_Accept,L2_Available,L2_Evidence_Quote,L2_Screenshot_Ref,L2_Toggle_Count,L2_Vendor_Count,L2_Text_Word_Count,L2_Information_Density_Score_1to5,L2_Germane_Support_Score_1to5,CL_Toggle_Vendor_Complexity_Index,CL_Germane_Suppression_Indicators,AA_RePrompting_After_Reject,AA_RePrompt_Frequency_Observed,SP_Message_ID,SP_Campaign_ID,SP_Variant_Evidence,OT_Purpose_Count,OT_Vendor_Count,Evidence_JSON_Ref
ACLDP_0609,site-0609.invalid,https://site-0609.invalid,Failed,"Navigation error: Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://site-0609.invalid/
Call log:
  - navigating to ""https://site-0609.invalid/"", waiting until ""domcontentloaded""",2.0,L1,20260311T033428Z,2026-03-11T03:35:14Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0609.json
ACLDP_0610,site-0610.invalid,https://site-0610.invalid,Failed,"Navigation error: Page.goto: Navigation to ""https://site-0610.invalid/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""https://site-0610.invalid/"", waiting until ""domcontentloaded""
",2.0,L1,20260311T033428Z,2026-03-11T03:35:15Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0610.json
ACLDP_0611,site-0611.invalid,https://site-0611.invalid,Failed,Navigation timeout,2.0,L1,20260311T033428Z,2026-03-11T03:35:16Z,,en-US,Chromium,Yes,No,None,,,,,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0611.json
ACLDP_0612,site-0612.invalid,https://site-0612.invalid,Completed,,0.0,L2,20260311T015418Z,2026-03-11T01:55:20Z,,en-US,Chromium,Yes,Yes,Banner,2.0,Unknown,,No,,"This site uses cookies and related technologies, as described in our privacy policy, for purposes that may include site operation, analytics, enhanced user experience, or advertising. You may choose to consent to our use of these technologies, or manage your own preferences. Please visit our cookie policy for more information. AGREE & PROCEED DECLINE ALL MANAGE CHOICES",CookiesConsentDataset/screenshots/ACLDP_0612_L1.png,Yes,Yes,Yes,1.0,1.0,1.0,0.0,0.0,1.0,1.0,Equal,1.0,Yes,Now Available: OpenAI GPT-5.4 on the Gradient™ AI Platform Now Available: OpenAI GPT-5.3 Codex on the Gradient™ AI Platform Now Available: Claude Sonnet 4.6 on the Gradient™ AI Platform Heroku is shifting to sustaining engineering. Migrate your workloads to DigitalOcean Now Available: Claude Opus 4.6 on Gradient™ AI Platform 🔥 Run OpenClaw on DigitalOcean App Platform Join us for Deploy in San Fra...,CookiesConsentDataset/screenshots/ACLDP_0612_L2.png,0.0,0.0,1554.0,3.0,3.0,0.0,0.0,1.0,Reload,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0612.json
ACLDP_0613,site-0613.invalid,https://site-0613.invalid,Completed,,0.0,L1,20260311T015418Z,2026-03-11T01:55:29Z,,en-US,Chromium,Yes,No,None,,Didomi,HTML match: /didomi/,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0613.json
ACLDP_0614,site-0614.invalid,https://site-0614.invalid,Completed,,0.0,L1,20260311T015418Z,2026-03-11T01:55:34Z,,en-US,Chromium,Yes,No,None,,Unknown,,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0614.json
ACLDP_0615,site-0615.invalid,https://site-0615.invalid,Completed,,0.0,L1,20260311T015418Z,2026-03-11T01:55:39Z,,en-US,Chromium,Yes,No,None,,Unknown,,Yes,HTML match: /tcstring/,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0615.json
ACLDP_0616,site-0616.invalid,https://site-0616.invalid,Completed,,0.0,L1,20260311T015418Z,2026-03-11T01:55:43Z,,en-US,Chromium,Yes,No,None,,Unknown,,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0616.json
ACLDP_0617,site-0617.invalid,https://site-0617.invalid,Completed,,0.0,L2,20260311T015418Z,2026-03-11T01:55:49Z,,en-US,Chromium,Yes,Yes,Banner,2.0,OneTrust,HTML match: /onetrust/,No,,"Our websites use different types of cookies. We use Strictly Necessary cookies in order for our websites to function properly and these cookies may never be disabled. We use optional first party and third-party cookies to improve our websites, customize your experience and provide personalized advertising. If you access our websites, optional Analytic cookies, in addition to Strictly Necessary coo...",CookiesConsentDataset/screenshots/ACLDP_0617_L1.png,Yes,No,Yes,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,Yes,"Investor Relations Login Contact Us About Us About Us ""We enable the world to connect online with reliability and confidence, anytime, anywhere."" - Jim Bidzos, Executive Chairman, President and Chief Executive Officer Who We Are About Verisign Verisign History Mission and Values Leadership Investor Relations Verisign Cares Careers Contact Us Support Report a Vulnerability What We Do What We Do A g...",CookiesConsentDataset/screenshots/ACLDP_0617_L2.png,13.0,0.0,1097.0,3.0,3.0,13.0,0.0,1.0,Reload,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0617.json
ACLDP_0618,site-0618.invalid,https://site-0618.invalid,Completed,,0.0,L1,20260311T015418Z,2026-03-11T01:56:01Z,,en-US,Chromium,Yes,No,None,,OneTrust,HTML match: /onetrust/,Yes,HTML match: /tcstring/,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0618.json
